"gene","gene_name","dev_default","rank_default","dev_batch","rank_batch","d_diff","nSD_dev","r_diff","nSD_rank"
"ENSG00000022267","FHL1",20466.6131847391,685,20295.419438914,673,0.0084350927725534,-0.204364861756675,-12,-0.280804313111809
"ENSG00000022355","GABRA1",17629.7630841321,1022,16975.3601288669,1088,0.0385501662584717,0.370119144694105,66,1.54442372211495
"ENSG00000023171","GRAMD1B",12080.1157071953,1826,11931.2954745464,1825,0.012473099251155,-0.127334661548599,-1,-0.0234003594259841
"ENSG00000023191","RNH1",14659.6884441684,1490,14644.1094601719,1464,0.0010638396304568,-0.344981056487685,-26,-0.608409345075586
"ENSG00000023228","NDUFS1",14576.6116946172,1508,14561.2960886899,1479,0.00105180238310943,-0.345210682561352,-29,-0.678610423353538
"ENSG00000023516","AKAP11",15466.5509637152,1362,15078.9403946557,1397,0.025705424845161,0.12508907653261,35,0.819012579909443
"ENSG00000023734","STRAP",16635.2701980447,1178,16569.9712728204,1155,0.00394079893979566,-0.29009933384478,-23,-0.538208266797634
"ENSG00000024862","CCDC28A",10847.5596201508,1938,10766.6884099836,1936,0.00751124274128868,-0.221988496896361,-2,-0.0468007188519682
"ENSG00000025772","TOMM34",16182.0902014153,1250,16024.6738861458,1250,0.00982337090838228,-0.177881659385878,0,0
"ENSG00000026025","VIM",25129.3359804369,358,25003.2079490104,341,0.00504447396045187,-0.269045304274416,-17,-0.397806110241729
"ENSG00000028839","TBPL1",10022.4062377068,2002,9996.8499380828,1994,0.00255643525533312,-0.31650786298906,-8,-0.187202875407873
"ENSG00000031698","SARS",18308.7989032328,927,18228.7982509886,906,0.00438869590537994,-0.281555119486933,-21,-0.491407547945666
"ENSG00000033122","LRRC7",12236.9704961391,1807,11968.1114290826,1818,0.0224646193051947,0.0632665160929591,11,0.257403953685825
"ENSG00000033627","ATP6V0A1",21151.0208180553,619,20515.8771227966,658,0.0309586420047817,0.225300993399624,39,0.912614017613379
"ENSG00000034053","APBA2",21031.6280462708,635,20640.0819086747,645,0.018970183322364,-0.00339437333309703,10,0.234003594259841
"ENSG00000034510","TMSB10",67639.8130492887,30,66270.6010823196,28,0.0206609257288658,0.0288587264980416,-2,-0.0468007188519682
"ENSG00000034713","GABARAPL2",24119.2022764022,418,23949.2113269138,401,0.00709797692992406,-0.229872077162332,-17,-0.397806110241729
"ENSG00000035862","TIMP2",20130.0886802476,727,19882.3722293518,719,0.0124590993488252,-0.127601727806435,-8,-0.187202875407873
"ENSG00000036530","CYP46A1",20574.6876234517,674,20150.8896222039,694,0.0210312303423493,0.03592276630723,20,0.468007188519682
"ENSG00000037042","TUBG2",13535.480621878,1632,13520.3067076322,1610,0.00112230547531123,-0.343865744821313,-22,-0.51480790737165
"ENSG00000038382","TRIO",11608.3194803278,1872,11535.6001344523,1861,0.00630390660459155,-0.245019996429871,-11,-0.257403953685825
"ENSG00000040608","RTN4R",11248.506457785,1902,11009.6846336303,1905,0.0216919768460265,0.0485273611078486,3,0.0702010782779522
"ENSG00000040933","INPP4A",10971.1569775325,1925,10871.4237563213,1927,0.00917388774889849,-0.190271391317199,2,0.0468007188519682
"ENSG00000041357","PSMA4",14561.4053711117,1511,14524.3060408065,1484,0.00255429279725856,-0.316548733149942,-27,-0.63180970450157
"ENSG00000042753","AP2S1",20722.79679097,665,20561.1767025485,652,0.00786044936822555,-0.21532692848891,-13,-0.304204672537793
"ENSG00000044115","CTNNA1",14913.7108482615,1457,14888.3021478305,1433,0.00170662176107331,-0.332719155355542,-24,-0.561608626223618
"ENSG00000044574","HSPA5",16386.2895504929,1218,16318.0289553754,1201,0.00418313972258935,-0.285476369737094,-17,-0.397806110241729
"ENSG00000046653","GPM6B",31415.5509051358,175,30429.2253711386,175,0.032413757562582,0.253059206106123,0,0
