"gene","gene_name","dev_default","rank_default","dev_batch","rank_batch","d_diff","nSD_dev","r_diff","nSD_rank","nSD.bin_dev","nSD.bin_rank"
"ENSG00000171680","PLEKHG5",13035.5694656683,2273,12541.9926983151,2275,0.0393539351541383,0.101624474914804,2,0.0268252008464198,"[0,5)","[0,6)"
"ENSG00000171735","CAMTA1",23419.3377197084,1324,23361.8400730456,1261,0.00246117799296084,-0.459687817590512,-63,-0.844993826662224,"[0,5)","[0,6)"
"ENSG00000116288","PARK7",32631.4626189085,519,32221.3094140135,492,0.0127292531667441,-0.303462117509785,-27,-0.362140211426668,"[0,5)","[0,6)"
"ENSG00000074800","ENO1",36377.6527376664,374,36127.6930578429,337,0.00691878331182985,-0.391866682680833,-37,-0.496266215658767,"[0,5)","[0,6)"
"ENSG00000171603","CLSTN1",38232.6931548298,319,37957.3665019178,290,0.00725357626952455,-0.386772907721774,-29,-0.388965412273087,"[0,5)","[0,6)"
"ENSG00000054523","KIF1B",29570.0054158847,721,29398.3795145286,675,0.00583793747105336,-0.408311429655979,-46,-0.616979619467656,"[0,5)","[0,6)"
"ENSG00000241563","CORT",23942.4078925367,1254,23170.548198495,1290,0.0333121032540723,0.00969980525832828,36,0.482853615235557,"[0,5)","[0,6)"
"ENSG00000116649","SRM",21540.5119831054,1553,21327.6676797953,1522,0.00997972710872911,-0.345295336105645,-31,-0.415790613119507,"[0,5)","[0,6)"
"ENSG00000116661","FBXO2",29213.7801342485,739,28765.9755564933,713,0.0155671611719121,-0.260284193958539,-26,-0.348727611003458,"[0,5)","[0,6)"
"ENSG00000132879","FBXO44",23188.6969738718,1346,23131.6738471443,1297,0.00246515349923688,-0.459627331448695,-49,-0.657217420737286,"[0,5)","[0,6)"
"ENSG00000116688","MFN2",17723.6923382865,1956,17686.7967987288,1923,0.00208604983579587,-0.465395280574687,-33,-0.442615813965927,"[0,5)","[0,6)"
"ENSG00000159363","ATP13A2",21713.9479796033,1526,21657.8544179465,1481,0.002589987012299,-0.457728026794064,-45,-0.603567019044446,"[0,5)","[0,6)"
"ENSG00000117115","PADI2",28222.029231046,819,25709.6993302141,979,0.0977191474922989,0.989633766195619,160,2.14601606771359,"[0,5)","[0,6)"
"ENSG00000117154","IGSF21",17947.1093626358,1928,17698.4400394661,1922,0.0140503526082024,-0.283361983684798,-6,-0.0804756025392595,"[0,5)","[0,6)"
"ENSG00000077549","CAPZB",27518.4375976459,869,27415.366356885,821,0.00375961566295032,-0.439932475856823,-48,-0.643804820314076,"[0,5)","[0,6)"
"ENSG00000173436","MICOS10",31388.899400249,588,30883.1463727182,566,0.0163763439588404,-0.247972719291513,-22,-0.295077209310618,"[0,5)","[0,6)"
"ENSG00000158747","NBL1",28674.295082281,779,28094.6969635487,765,0.0206301608977785,-0.183252163778088,-14,-0.187776405924939,"[0,5)","[0,6)"
"ENSG00000162545","CAMK2N1",46869.3373029713,159,44284.7954275946,164,0.0583618339075853,0.390823983056574,5,0.0670630021160496,"[0,5)","[0,6)"
"ENSG00000158828","PINK1",29763.2145069722,703,29510.4588034052,664,0.00856495336960916,-0.366820696419929,-39,-0.523091416505187,"[0,5)","[0,6)"
"ENSG00000076864","RAP1GAP",22832.5596401155,1397,22192.5410399364,1414,0.028839356386789,-0.058351703792686,17,0.228014207194568,"[0,5)","[0,6)"
"ENSG00000070831","CDC42",27308.6933516561,886,27031.6530974215,849,0.0102487351859746,-0.341202458474368,-37,-0.496266215658767,"[0,5)","[0,6)"
"ENSG00000117318","ID3",23567.2170721603,1300,22683.8963940034,1353,0.0389404299338278,0.0953331163654439,53,0.710867822430125,"[0,5)","[0,6)"
